,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10496,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19520362.0,19520362.0,False,,1,,,,2023-10-22T01:30:00.000Z,29948.362559527945,11685200230.605047,-45.4282,-0.07447718,1.14172987,11.48811759,12.39464766,15.10692855,0.0161339,584602878469.232,51.3601,628915613750.09,,2023-10-22T01:30:00.000Z,,,,,,2023-10-22 01:31:46.812909
1,1027,Ethereum,ETH,ethereum,7589,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120265828.96038222,120265828.96038222,True,,2,,,,2023-10-22T01:30:00.000Z,1630.4869552622054,4420661633.642926,-34.3062,-0.28160423,1.61552264,4.96322557,2.38133505,-0.00591573,-13.32404285,196091865283.69876,17.2338,196091865283.7,,2023-10-22T01:30:00.000Z,,,,,,2023-10-22 01:31:46.812909
2,825,Tether USDt,USDT,tether,64123,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,84154234500.6047,87625667477.0228,True,,3,,,,2023-10-22T01:30:00.000Z,1.0004974780546378,31735123646.05144,-21.938,0.01707747,-0.00049669,0.03186002,0.07049261,0.08955554,0.05738692,84196099385.4736,7.3997,87669259323.62,,2023-10-22T01:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-22 01:31:46.812909
3,1839,BNB,BNB,bnb,1690,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151705118.0865387,151705118.0865387,False,,4,,,,2023-10-22T01:30:00.000Z,214.61390292183458,273088549.5945563,-18.1371,-0.00637796,1.18153504,3.72874104,1.52263077,0.42415707,-11.43126361,32558027485.769867,2.8579,32558027485.77,,2023-10-22T01:30:00.000Z,,,,,,2023-10-22 01:31:46.812909
4,52,XRP,XRP,xrp,1119,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53441027384.0,99988362642.0,False,,5,,,,2023-10-22T01:30:00.000Z,0.5225689729370218,643342307.414808,-46.6007,0.23780166,1.56448548,7.578612,2.56991464,0.81368926,-29.00557305,27926622792.756134,2.4544,52256897293.7,,2023-10-22T01:30:00.000Z,,,,,,2023-10-22 01:31:46.812909
5,3408,USDC,USDC,usd-coin,14544,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25559917287.37671,25559917287.37671,False,,6,,,,2023-10-22T01:30:00.000Z,1.0000814608441313,2078280989.210054,-39.3728,0.01170311,0.00869897,-0.01997353,0.01936987,-0.00788858,0.01448253,25561999419.814865,2.2457,25561999419.81,,2023-10-22T01:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-22 01:31:46.812909
6,5426,Solana,SOL,solana,537,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,416722811.9454835,560556164.0681056,True,,7,,,,2023-10-22T01:30:00.000Z,29.361663569368396,1158094352.6195543,25.3434,-0.15340428,9.60664107,33.96086205,50.11129282,43.23259716,19.40174387,12235675006.02446,1.074,16458861501.1,,2023-10-22T01:30:00.000Z,,,,,,2023-10-22 01:31:46.812909
7,2010,Cardano,ADA,cardano,948,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35228616725.303,36274729240.533,False,,8,,,,2023-10-22T01:30:00.000Z,0.25999458913955126,140353732.16687626,2.015,0.23822578,3.56567495,5.30522727,5.59531641,0.38367922,-17.71234731,9159249731.449877,0.805,11699756511.28,,2023-10-22T01:30:00.000Z,,,,,,2023-10-22 01:31:46.812909
8,74,Dogecoin,DOGE,dogecoin,811,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141509236383.70526,141509236383.70526,True,,9,,,,2023-10-22T01:30:00.000Z,0.06143800607551159,156270064.75241467,2.3284,0.25980884,2.58738036,3.18457007,-0.2026049,-1.86725296,-14.04592439,8694045324.68309,0.7638,8694045324.68,,2023-10-22T01:30:00.000Z,,,,,,2023-10-22 01:31:46.812909
9,1958,TRON,TRX,tron,853,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88883621552.8863,88883624162.55054,True,,10,71659659264.0,6566986030.280335,,2023-10-22T01:30:00.000Z,0.09164132369213515,175746260.3692365,-18.1675,-0.10536113,0.87468643,7.83873037,10.10770033,21.21773532,10.69402283,8145412733.657294,0.7156,8145412972.81,,2023-10-22T01:30:00.000Z,,,,,,2023-10-22 01:31:46.812909
